"Tag","Text"
"h3","Academics"
"h3","Facilities"
"h3","Information"
"h4","Institute"
"h4","Head of Departments"
"h4","Deans & Associate Deans"
"h4","Career Development and Guidance Cell"
"h4","Head of Centers"
"h4","Accounts Section"
"h4","Chairpersons"
"h4","Chief Wardens"
"h4","Liaison Officers"
"h4","Student Advisers"
"h4","Other Activities"
"h4","Committees"
"h4","Coordinators"
"h4","Clubs"
"h4","Societies"
"h4","Nodal Officers"
"h4","Games"

"For url: 11","https://pec.ac.in/institute"
"Title ","Institute | Punjab Engineering College"
"p","Quick Links"
"p","The Punjab Engineering College (Deemed to be University), Chandigarh was orginally established as Mugalpura Engineering College at Lahore (now in Pakistan) on November 9, 1921.Towards the end of December 1953, the college shifted to its present campus in Chandigarh to function under Govt. of Punjab."
"p","Read More"
"p","The college campus extends over an area of 149 acres of the land situated close to the beautiful Shivalik hills. The campus is divided into various functional zones like hostels, Main College Building, Administration Block, Residential Complex for staff and faculty and a shopping centre."
"p","Read More"
"p","The college is situated in Sector 12 at the north end of Chandigarh.The college campus extends over an area of 146 acres of the land situated close to the beautiful Shivalik hills."
"p","Read More"
"p","Latest news and information about happenings and events on the campus."
"p","Read More"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"
"h4","History"
"h4","Campus"
"h4","Location"
"h4","News & Events"

"For url: 12","https://pec.ac.in/history"
"Title ","History | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University) (PEC) having its roots in Lahore as Mugalpura Engineering College since 1921, moved to its present campus in 1953 as PEC affiliated to Panjab University. The institute became Deemed University in 2003 through a MHRD notification and rechristened as PEC University of Technology in 2009."
"p","It is a Grant-in-Aid institution under administration of Union Territory of Chandigarh, Government of India. The institute has a 146 acres sprawling and pious campus and is house of Chandigarh College of Architecture also. The academic and administrative processes are similar to IITs in the country. The institute governance is through a vibrant Board of Governors, chaired by a renowned industrialist, Sh. Rajinder Gupta. The institute is headed by a Director on 5 years tenure; a position, which is equivalent to Vice Chancellor of Universities."
"p","The institute offers 8 Undergraduate B. Tech. Programmes and 14 Post graduate M. Tech. Programmes in various disciplines of engineering and technology. After becoming University, the institute has also started PhD programme in various disciplines of engineering, science, management, humanities and social sciences. The admission to UG and PG programmes are made through national level examinations namely JEE (Mains) and GATE respectively. There are 9 academic departments and 2 centers of excellence."
"p","The faculty of academic departments and centers is involved in cutting edge research and development works. The institute collaborates very closely with research organisations, industries, alumni and other academic institutions both India and abroad, and has signed MoUs to pursue joint research in niche areas. The students graduating from this institute are placed in highly reputed companies with handsome salary packages."
"p","With a history of about 96 years now, the institute has produced a number of alumni who have earned name and fame both for themselves and the institute."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 13","https://pec.ac.in/vision"
"Title ","Vision & Mission | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 14","https://pec.ac.in/campus"
"Title ","Campus | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 15","https://pec.ac.in/location"
"Title ","Location | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 16","https://pec.ac.in/all_events"
"Title ","Event | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 17","https://pec.ac.in/balance-sheets"
"Title ","Balance Sheets | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 18","https://pec.ac.in/faculty-affairs"
"Title ","Faculty Affairs | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 19","https://pec.ac.in/institute/iqac-reports"
"Title ","IQAC Reports | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 20","https://pec.ac.in/administration"
"Title ","Administration | Punjab Engineering College"
"p","Quick Links"
"p","The Punjab Engineering College (Deemed to be University) is led by Director, Prof. Dheeraj Sanghi, governed by a Board of Governors and Senate and supported by various Institute Functionaries."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 21","https://pec.ac.in/board-of-governors"
"Title ","Board of Governors | Punjab Engineering College"
"p","Quick Links"
"p","Provision"
"p","Presently Occupied By"
"p","An eminent educationist/ industrialist to be selected by the Chandigarh Administration"
"p","Sh. Rajinder Gupta, Chairman, Trident Industries, E-212, Kitchlu Nagar, Ludhiana, Punjab."
"p","Chairman"
"p","Ex-officio"
"p","Secretary Technical Education, Chandigarh Administration"
"p","Sh. Arun Kumar Gupta, IAS"
"p","Vice Chairman"
"p","Ex-officio"
"p","Finance Secretary, Chandigarh Administration"
"p","Sh. Ajoy Kumar Sinha, IAS"
"p","Member"
"p","Ex-officio, Vice Chancellor, Panjab University, Chandigarh or his nominee"
"p","Prof. Raj Kumar"
"p","Member"
"p","Ex-officio, Joint Secretary/ Special Secretary Technical Education, U.T., Chandigarh"
"p","Sh. Sachin Rana, IAS"
"p","Member"
"p","Nominee of the Department of Secondary Education & Higher Education, MHRD, GOI"
"p","Nominee of Ministry of Home Affairs, GOI"
"p","Director IIT, Delhi or his nominee"
"p","Nominee of the Chairman, UGC"
"p","Chairman CII, Northern Region"
"p","Mr. Nikhil Sawhney"
"p","Member"
"p","Director CSIO Chandigarh"
"p","Dr. Sanjay Kumar"
"p","Member"
"p","Two Technologists/ Engineers/ Educationalists to be nominated by the Chandigarh Administration"
"p","Sh. Kiran Malhotra, Advisor Business Development in Automative Industry, Hoebiger Drive Tech., Germany."
"p","Sh. Arun Kumar Grover, Former Vice Chancellor, H-1, Panjab University, Sector - 14, Chandigarh."
"p","Members"
"p","Two eminent industralists to be nominated by the Chandigarh Administration"
"p","Sh. A.K. Taneja, MD & CEO, Shriram Pistons & Rings Limited, 3rd Floor, Himalaya House 23, Kasturba Gandhi Marg, New Delhi - 110001."
"p","Sh. Sanjeev Aggarwal, Senior Managing Director, Helion Advisors Pvt. Ltd., Tower 'B', 10th Floor, Vatika Towers, Sector - 54, Gurgaon - 122002."
"p","Members"
"p","An eminent alumnus of the Institiute to be nominated by the Chandigarh Administration"
"p","Sh. Purushottam Kaushik, Senior Advisor, MCKinsey and Company, 21st Floor, Express Towers, Nariman Point, Mumbai - 400021."
"p","Member"
"p","Two persons of the Institute to be nominated by the Senate"
"p","Prof. Siby John, Civil Engineering Department"
"p","Prof. Sanjeev Sofat, Computer Science & Engineering Department"
"p","Members"
"p","Ex-officio Director of Institute"
"p","Dr. Dheeraj Sanghi"
"p","Member"
"p","Ex-officio Registrar of the Institute"
"p","Dr. Sushant Samir"
"p","Member Secretary"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 22","https://pec.ac.in/chairman-bog"
"Title ","Chairman, Board of Governors | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 23","https://pec.ac.in/director"
"Title ","Director | Punjab Engineering College"
"p","Quick Links"
"p","Director Punjab Engineering College (Deemed to be University) Sector 12 ,Chandigarh,U.T Pin : 160012, India director [*AT] pec.edu.in +91 172 2746074, 2753051"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"
"h4","Dr. Dheeraj Sanghi"

"For url: 24","https://pec.ac.in/senate-members"
"Title ","Senate Members | Punjab Engineering College"
"p","Quick Links"
"p","Name/Designation"
"p","Capacity"
"p","Director"
"p","ex-officio, Chairman"
"p","Deputy Director"
"p","ex-officio"
"p","Heads of all the Academic Departments"
"p","ex-officio"
"p","Dr. Asha Gupta, Applied Sciences Department"
"p","Two Professors, other than Deans/ Heads of departments by rotation"
"p","Dr. Sanjeev Kumar, Mechanical Engineering Department"
"p","Prof. S. K. Sharma, Civil Engineering Department"
"p","Two Associate Professors from the departments, elected from amongst the Associate Professors"
"p","Prof. Arun K. Singh, Electonics & Communication Engineering Department"
"p","Prof. Tejinder Singh Saggu, Electrical Engineering Department"
"p","Two Assistant Professors from the departments, elected from amongst the Assistant Professors"
"p","Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions"
"p","Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors"
"p","Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh"
"p","Ms. Seema Vasishta, Senior Librarian"
"p","Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge"
"p","Registrar"
"p","ex-officio, Secretary"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 25","https://pec.ac.in/building-works-committee"
"Title ","Building & Works Committee | Punjab Engineering College"
"p","Quick Links"
"p","Sr. No"
"p","Name"
"p","Capacity"
"p","Dr. Dheeraj Sanghi, Director"
"p","Chairman"
"p","Prof. Sushant Samir, Registrar (Ad-Interim)"
"p","Member Secretary"
"p","Prof. Umesh Sharma, Dean, Infrastructure, Planning and Estate."
"p","Member"
"p","Dr. R. K. Sinha, BOG Nominee"
"p","Member"
"p","Sh. Anup Chauhan, Cheif Engineer, PWD ( B&R) Retd."
"p","Member"
"p","Sh. V.K. Jain, S.E, UHBVN Retd."
"p","Member"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 26","https://pec.ac.in/finance-committee"
"Title ","Finance Committee | Punjab Engineering College"
"p","Quick Links"
"p","Sr. No"
"p","Name/ Designation"
"p","Capacity"
"p","Sh. Rajinder Gupta"
"p","Chairman"
"p","Sh. Ajoy Kumar Sinha, IAS, Finance Secretary, UT Chandigarh"
"p","Member (Ex-officio)"
"p","Sh. Sachin Rana, IAS, Special Secretary, Technical Education"
"p","Member (Ex-officio)"
"p","Prof. R.K.Sinha, Director, CSIO"
"p","Member"
"p","Prof. Siby John, PEC"
"p","Member"
"p","One nominee of MHRD"
"p","Member (Ex-officio)"
"p","One nominee of the UGC"
"p","Member (Ex-officio)"
"p","Director"
"p","Member (Ex-officio)"
"p","Registrar"
"p","Member (Ex-officio)"
"p","AC(F&A)"
"p","Special Invitee"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 27","https://pec.ac.in/grievance-redressal-committee"
"Title ","Grievance Redressal Committee | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 28","https://pec.ac.in/minutes-meetings"
"Title ","Minutes of Meetings | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 29","https://pec.ac.in/programmes"
"Title ","Programmes | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University), Chandigarh has been conferred the Deemed University status in 2004. Earlier the college was affiliated to the Panjab University, Chandigarh. Punjab Engineering College (Deemed to be University), Chandigarh offers a wide range of academic programmes at the undergraduate, postgraduate and the research levels."
"p","The Punjab Engineering College (Deemed to be University), Chandigarh offers four-year Bachelor degree programmes in Aerospace Engineering, Civil Engineering, Computer Science and Engineering, Electrical Engineering, Electronics and Communication Engineering, Mechanical Engineering, Materials and Metallurgical Engineering, Production and Industrial Engineering. Master of Technology is offered in Civil Engineering (Transportation Engineering), Civil Engineering (Water Resources Engineering), Civil Engineering (Structural Engineering), Civil Engineering (Environmental Engineering) – an interdisciplinary programme, Computer Science and Engineering, Computer Science and Engineering (Information Security) – a self-supporting programme, Electrical Engineering, Electronics Engineering (VLSI Design), Mechanical Engineering, Industrial Materials and Metallurgy, Production and Industrial Engineering, Total Quality Engineering and Management - a self-supporting, interdisciplinary programme and Industrial Design - a self-supporting, interdisciplinary programme."
"p","At the postgraduate level, the college offers a 4 semester programme leading to the degree of Master of Technology (M.Tech) in different disciplines. The admission to these courses is based on the percentile score of applicants in the Graduate Aptitude Test in Engineering (GATE). A special provision exists for 6 semester part-time ME courses for the candidates sponsored by the industry and the various Government organizations. Facilities for doctoral research are available in all departments."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Programmes"
"h3","Academic Units"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 30","https://pec.ac.in/programmes/ug/structure"
"Title ","Programme Structure & Syllabus | Punjab Engineering College"
"p","Quick Links"
"p","Four year undergraduate programmes leading to the degree of Bachelor of Technology (B. Tech.) are offered in the following disciplines:"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Programmes"
"h3","Academic Units"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 31","https://pec.ac.in/programmes/pg/structure"
"Title ","Programme Structure & Syllabus | Punjab Engineering College"
"p","Quick Links"
"p","Two year programmes leading to the degree of Master of Technology (M. Tech.) are offered in the following disciplines:"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Programmes"
"h3","Academic Units"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 32","https://pec.ac.in/programmes/phd"
"Title ","Doctorate | Punjab Engineering College"
"p","Quick Links"
"p","The Punjab Engineering College (Deemed to be University) has a mission to develop high quality science and engineering specialists having strong base of principles of science and the scientific methods,deep understanding of their chosen areas of specialization, the motivation to learn continually,interact with multi-disciplinary groups and to handle new challenges offered by the front-end technologies. The PhD Programme is designed to impart knowledge, and to consolidate concepts andintellectual skills through courses, seminars, projects, and thesis work. Above all, it helps thescholars to develop the capacity for free and objective enquiry, courage and integrity, awarenessand sensitivity to the needs and aspirations of the society. The Programme provides the candidates with an enabling research experience duringtheir stay in the Institute, thereby helping them to enter their professional life with right perspective and knowledge related to their respective fields of specialization."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Programmes"
"h3","Academic Units"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 33","https://pec.ac.in/programmes/student-support"
"Title ","Academic Support for Students | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Programmes"
"h3","Academic Units"
"h3","Academic Support for B.Tech. Students"
"h3","Academic Support for M.Tech. Students"
"h3","Academic Support for Ph.D. Students"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 34","https://pec.ac.in/programmes/accreditation"
"Title ","Accreditation | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Programmes"
"h3","Academic Units"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 35","https://pec.ac.in/programmes/scholarships"
"Title ","Scholarships | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Programmes"
"h3","Academic Units"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 36","https://pec.ac.in/iqac/aqar-reports"
"Title ","Annual Quality Assurance Reports (AQAR) | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","IQAC"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 37","https://pec.ac.in/admissions"
"Title ","Admissions | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Admissions"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 38","https://pec.ac.in/academic-units"
"Title ","Academic Units | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Academic Units"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 39","https://pec.ac.in/departments"
"Title ","Departments | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Academic Units"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 40","https://pec.ac.in/centres"
"Title ","Centres | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Academic Units"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 41","https://pec.ac.in/research/overview"
"Title ","Overview | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University) imparts quality and socially relevant education in engineering at undergraduate, postgraduate and doctorate levels. Faculty and students of its department are involved in research activities of interest to society and industry. Our curricula derive its strength from the design and project contents."
